iter    | category           | len  | shepOk | shaOk | shepOnes | shaOnes | shepEnt | shaEnt | shepRuns | shaRuns | shepHam  | shaHam  | shepPosU  | shaPosU  | shepGlobU  | shaGlobU  | shepFinal | shaFinal | better 
8600    | unicode70000       | 10   | 8600   | 8600  | 49.98    | 49.96   | 1.000   | 1.000  | 0.7677   | 0.1031  | 127.95   | 128.06  | 98.25     | 98.23    | 99.82      | 99.71     | 99.30     | 97.67    | SHEP32 
8700    | unicode5000        | 56   | 8700   | 8700  | 49.98    | 49.96   | 1.000   | 1.000  | 0.8922   | 0.0807  | 127.96   | 128.07  | 98.26     | 98.25    | 99.83      | 99.71     | 98.50     | 98.07    | SHEP32 
8800    | unicode100000      | 79   | 8800   | 8800  | 49.99    | 49.95   | 1.000   | 1.000  | 0.8813   | 0.1159  | 127.95   | 128.07  | 98.27     | 98.26    | 99.83      | 99.72     | 98.38     | 98.33    | SHEP32 
8900    | unicode80000       | 46   | 8900   | 8900  | 49.99    | 49.96   | 1.000   | 1.000  | 0.9355   | 0.0953  | 127.94   | 128.06  | 98.30     | 98.27    | 99.85      | 99.71     | 97.99     | 98.49    | SHA256 
9000    | a-zA-Z0-9          | 23   | 9000   | 9000  | 49.99    | 49.95   | 1.000   | 1.000  | 0.9254   | 0.1029  | 127.93   | 128.06  | 98.31     | 98.28    | 99.85      | 99.72     | 98.04     | 98.49    | SHA256 
9100    | 0-9                | 20   | 9100   | 9100  | 49.98    | 49.95   | 1.000   | 1.000  | 0.9153   | 0.0943  | 127.94   | 128.07  | 98.32     | 98.29    | 99.85      | 99.71     | 98.20     | 98.35    | SHA256 
9200    | unicode1000        | 55   | 9200   | 9200  | 49.98    | 49.95   | 1.000   | 1.000  | 0.9344   | 0.0806  | 127.94   | 128.07  | 98.33     | 98.30    | 99.85      | 99.72     | 98.10     | 98.34    | SHA256 
9300    | unicode5000        | 58   | 9300   | 9300  | 49.99    | 49.94   | 1.000   | 1.000  | 0.8285   | 0.1315  | 127.93   | 128.08  | 98.35     | 98.31    | 99.84      | 99.72     | 98.74     | 98.18    | SHEP32 
9400    | unicode300000      | 49   | 9400   | 9400  | 49.99    | 49.94   | 1.000   | 1.000  | 0.9722   | 0.1731  | 127.93   | 128.07  | 98.35     | 98.31    | 99.85      | 99.73     | 97.23     | 99.34    | SHA256 
9500    | 0-9                | 48   | 9500   | 9500  | 49.98    | 49.95   | 1.000   | 1.000  | 0.9367   | 0.2257  | 127.91   | 128.08  | 98.36     | 98.33    | 99.85      | 99.73     | 97.36     | 99.47    | SHA256 
9600    | unicode500000      | 65   | 9600   | 9600  | 49.98    | 49.95   | 1.000   | 1.000  | 0.8968   | 0.2044  | 127.91   | 128.09  | 98.38     | 98.34    | 99.84      | 99.74     | 97.79     | 99.13    | SHA256 
9700    | a-z                | 70   | 9700   | 9700  | 49.97    | 49.95   | 1.000   | 1.000  | 0.8643   | 0.2022  | 127.91   | 128.08  | 98.39     | 98.36    | 99.84      | 99.74     | 98.08     | 98.93    | SHA256 
9800    | unicode300000      | 79   | 9800   | 9800  | 49.97    | 49.95   | 1.000   | 1.000  | 0.9031   | 0.2095  | 127.91   | 128.07  | 98.40     | 98.36    | 99.83      | 99.75     | 97.71     | 99.19    | SHA256 
9900    | unicode50000       | 29   | 9900   | 9900  | 49.97    | 49.95   | 1.000   | 1.000  | 0.9095   | 0.2124  | 127.91   | 128.08  | 98.41     | 98.38    | 99.84      | 99.74     | 97.65     | 99.25    | SHA256 
10000   | A-Za-z             | 80   | 10000  | 10000 | 49.97    | 49.95   | 1.000   | 1.000  | 0.8263   | 0.2581  | 127.92   | 128.06  | 98.43     | 98.39    | 99.84      | 99.75     | 98.15     | 99.08    | SHA256 
10100   | 0-9                | 55   | 10100  | 10100 | 49.97    | 49.95   | 1.000   | 1.000  | 0.8184   | 0.2765  | 127.94   | 128.06  | 98.43     | 98.40    | 99.84      | 99.75     | 98.15     | 99.14    | SHA256 
10200   | unicode300000      | 35   | 10200  | 10200 | 49.97    | 49.95   | 1.000   | 1.000  | 0.8512   | 0.2504  | 127.93   | 128.06  | 98.44     | 98.41    | 99.84      | 99.75     | 97.99     | 99.16    | SHA256 
10300   | unicode90000       | 60   | 10300  | 10300 | 49.98    | 49.95   | 1.000   | 1.000  | 0.9541   | 0.3468  | 127.94   | 128.05  | 98.44     | 98.42    | 99.84      | 99.75     | 96.99     | 99.50    | SHA256 
10400   | unicode30000       | 6    | 10400  | 10400 | 49.98    | 49.95   | 1.000   | 1.000  | 0.9446   | 0.3115  | 127.94   | 128.05  | 98.45     | 98.43    | 99.84      | 99.74     | 97.11     | 99.50    | SHA256 
10500   | unicode20000       | 61   | 10500  | 10500 | 49.98    | 49.95   | 1.000   | 1.000  | 0.8718   | 0.3560  | 127.94   | 128.05  | 98.46     | 98.44    | 99.83      | 99.74     | 97.56     | 99.50    | SHA256 
10600   | unicode5000        | 47   | 10600  | 10600 | 49.97    | 49.95   | 1.000   | 1.000  | 0.9397   | 0.3823  | 127.93   | 128.05  | 98.47     | 98.44    | 99.83      | 99.74     | 97.06     | 99.50    | SHA256 
10700   | unicode20000       | 79   | 10700  | 10700 | 49.98    | 49.95   | 1.000   | 1.000  | 0.7422   | 0.4547  | 127.93   | 128.04  | 98.47     | 98.45    | 99.82      | 99.75     | 98.28     | 99.37    | SHA256 
10800   | unicode400000      | 21   | 10800  | 10800 | 49.98    | 49.95   | 1.000   | 1.000  | 0.7342   | 0.3354  | 127.94   | 128.04  | 98.49     | 98.47    | 99.83      | 99.74     | 98.51     | 99.05    | SHA256 
10900   | unicode2000        | 85   | 10900  | 10900 | 49.98    | 49.95   | 1.000   | 1.000  | 0.8189   | 0.3028  | 127.95   | 128.04  | 98.50     | 98.47    | 99.83      | 99.74     | 98.07     | 99.27    | SHA256 
11000   | unicode50000       | 87   | 11000  | 11000 | 49.98    | 49.95   | 1.000   | 1.000  | 0.7802   | 0.2874  | 127.96   | 128.04  | 98.51     | 98.47    | 99.82      | 99.74     | 98.38     | 99.02    | SHA256 
11100   | unicode500000      | 94   | 11100  | 11100 | 49.99    | 49.95   | 1.000   | 1.000  | 0.7812   | 0.2412  | 127.97   | 128.04  | 98.52     | 98.48    | 99.82      | 99.74     | 98.54     | 98.77    | SHA256 
11200   | a-z                | 70   | 11200  | 11200 | 49.99    | 49.95   | 1.000   | 1.000  | 0.8362   | 0.2391  | 127.99   | 128.04  | 98.53     | 98.48    | 99.83      | 99.74     | 98.15     | 99.02    | SHA256 
11300   | a-zA-Z0-9          | 87   | 11300  | 11300 | 49.99    | 49.95   | 1.000   | 1.000  | 0.9428   | 0.2092  | 128.00   | 128.04  | 98.53     | 98.50    | 99.83      | 99.74     | 97.37     | 99.41    | SHA256 
